연도,회차,일차,경주번호,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2021,4,1,7,5,A2,8,송효석,남,41,55,7.29,7.24,29.4,58.8,82.4,0.23,2133 2162,0,0,F0L0,0,02,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,060,2.5,0,0,김효년/64,,050,1.5,0,
2021,4,1,7,6,A2,1,길현태,남,45,59,6.22,5.83,27.8,55.6,66.7,0.19,1511 6230,0,0,F0L0,0,01,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,014,3,0,0,권현기/45,,078,4,0,
2021,4,1,8,1,B1,1,강지환,남,43,62,5.18,4.94,17.6,35.3,47.1,0.22,3225 5445,0,0,F0L0,0,03,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,044,1.5,0,0,강영길/65,,081,1.5,0,
2021,4,1,8,2,A1,13,김도휘,남,36,58,7.13,7,40,60,66.7,0.19,4211 4421,0,0,F0L0,0,01,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,093,1.5,0,0,김성찬/56,,046,8,100,
2021,4,1,8,3,A1,12,김인혜,여,31,49,6.8,6.8,40,53.3,66.7,0.19,1111 2554,0,0,F0L0,0,02,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,103,2,0,0,박정아/55,,098,4.5,50,
2021,4,1,8,4,B1,1,윤영근,남,52,54,4.8,4.6,26.7,33.3,33.3,0.23,5144 5461,0,0,F0L0,0,02,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,045,4.5,50,50,이진우/26,,080,2,0,
2021,4,1,8,5,A2,8,김민길,남,42,59,6.83,6.78,38.9,61.1,72.2,0.23,5326 2211,0,0,F0L0,0,03,,1,00.0/0,00.0/0,00.0/0,00.0/0,100.0/1,00.0/0,114,4,0,50,한준희/53,,087,7,50,
2021,4,1,8,6,A1,11,김응선,남,36,55,6.75,5.69,25,56.3,75,0.17,1241 5433,0,0,F0L0,0,01,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,110,4,0,0,하서우/44,,094,5.33,33.3,
2021,4,2,1,1,A2,4,민영건,남,45,58,7,7,33.3,33.3,83.3,18.5,1433 1322,0,0,F0L0,0,08,온05-4-2,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,098,5,50,50,김현덕/52,,085,3,0,
2021,4,2,1,2,A2,6,손지영,여,36,55,6.67,6.58,33.3,50,66.7,18.58,1154 3246,0,0,F0L0,0,07,온04-2-1,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,091,1.5,0,0,정인교/65,,102,6,0,
2021,4,2,1,3,A2,7,김승택,남,41,67,4.13,4.13,25,25,37.5,18.19,6153 6165,0,0,F0L0,0,07,온06-3-2,4,0.0/1,00.0/0,100.0/1,00.0/0,0.0/2,00.0/0,129,4,0,50,김지영/53,,005,0,0,
2021,4,2,1,4,A1,2,김현철,남,52,55,6.17,6.17,16.7,50,66.7,18.46,2612 3412,0,0,F0L0,0,08,온03-2-5,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,026,4,0,50,류해광/53,,096,6.67,33.3,
2021,4,2,1,5,B1,11,전정환,남,34,56,5.71,5.71,28.6,42.9,57.1,18.23,1552 3514,0,0,F0L0,0,07,온03-3-3,2,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,127,2.5,0,0,구남우/64,,010,4,0,
2021,4,2,1,6,B1,1,권현기,남,50,60,3.38,3.38,0,12.5,12.5,18.54,4565 2544,0,0,F0L0,0,,"온01-6-4, 일07-3-3",2,0.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,147,3,0,0,이응석/54,,007,4.5,50,
2021,4,2,2,1,A2,10,이경섭,남,38,64,6.83,6.67,33.3,50,83.3,18.48,2116 3321,0,0,F0L0,0,07,온05-5-6,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,029,2.5,0,0,김국흠/46,,003,7,50,
2021,4,2,2,2,B1,15,이  인,남,34,57,5,5,0,28.6,57.1,18.46,4236 2532,0,0,F0L0,0,08,온01-3-3,2,00.0/0,100.0/1,00.0/0,00.0/0,0.0/1,00.0/0,085,5,50,50,정경호/25,,082,7.33,33.3,
2021,4,2,2,3,A1,1,이태희,남,50,58,8,7.67,33.3,66.7,100,18.3,1233 1213,0,0,F0L0,0,08,온04-3-6,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,002,1.5,0,0,구현구/65,,014,3,0,
2021,4,2,2,4,A1,2,김민천,남,45,58,6.75,6.75,25,50,75,18.12,3311 2245,0,0,F0L0,0,07,온02-2-6,4,100.0/1,00.0/0,00.0/0,0.0/1,50.0/2,00.0/0,052,3,0,50,주은석/30,,077,1.5,0,
2021,4,2,2,5,B1,12,강영길,남,38,63,4,3.88,12.5,25,25,18.38,5465 2146,0,0,F0L0,0,07,온06-4-4,4,00.0/0,0.0/1,0.0/1,0.0/1,0.0/1,00.0/0,008,1.5,0,0,오상현/56,,006,3,0,
2021,4,2,2,6,A1,12,김인혜,여,31,49,8.29,8.29,42.9,71.4,100,18.27,1123 3121,0,0,F0L0,0,,"온02-출제(면책)-4, 일08-6-3",2,00.0/0,00.0/0,100.0/1,100.0/1,00.0/0,00.0/0,103,2,0,0,박정아/55,,098,4.5,50,
2021,4,2,3,1,A2,8,김민길,남,42,59,7.71,7.71,57.1,57.1,85.7,18.7,5313 1112,0,0,F0L0,0,,"온03-실격-2, 일08-3-5",2,0.0/1,00.0/0,0.0/1,00.0/0,00.0/0,00.0/0,114,4,0,50,한준희/53,,087,7,50,
2021,4,2,3,2,B2,14,구본선,남,30,57,4,3.5,0,16.7,16.7,18.61,5524 4435,0,0,F0L0,0,,온04-1-5,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,105,3.5,0,50,나종호/63,,037,0,0,
2021,4,2,3,3,A1,11,정훈민,남,35,56,3.63,3.5,0,0,37.5,18.29,6344 3366,0,0,F0L0,0,08,온03-1-1,4,00.0/0,00.0/0,0.0/2,0.0/1,0.0/1,00.0/0,024,3,0,0,최진혁/54,,057,6,33.3,
2021,4,2,3,4,A2,4,구현구,남,43,65,1.86,1.86,0,0,0,18.74,6555 4660,0,0,F0L0,0,08,온06-6-5,2,00.0/0,00.0/0,0.0/1,00.0/0,0.0/1,00.0/0,149,5.33,33.3,66.7,곽현성/532,,107,1.5,0,
2021,4,2,3,5,A1,10,김완석,남,39,56,7.67,7.56,44.4,77.8,77.8,18.35,1112 6241,0,0,F0L0,0,,"온01-1-6, 일07-1-1",0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,096,5,0,50,김현덕/34,,055,8,50,
2021,4,2,3,6,B2,12,박준현,남,37,57,6,6,0,42.9,71.4,18.77,5224 3326,0,0,F0L0,0,,온05-1-1,2,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,054,5,33.3,66.7,이주영/326,,025,3,0,
2021,4,2,4,1,B2,13,이진우,남,33,55,4.71,4.71,14.3,28.6,42.9,18.08,2614 5533,0,0,F0L0,0,,온06-5-6,2,0.0/1,00.0/0,00.0/0,00.0/0,00.0/0,100.0/1,113,5,0,50,김종희/34,,088,4.5,50,
2021,4,2,4,2,B2,14,권혁민,남,36,53,3.43,3.43,0,14.3,14.3,18.73,4624 4655,0,0,F0L0,0,,온05-6-5,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,016,3.33,0,33.3,정민수/355,,084,9,100,
2021,4,2,4,3,B2,13,최진혁,남,37,62,4.75,4.5,25,25,25,18.24,4554 1154,0,0,F0L0,0,,온04-6-4,4,0.0/1,00.0/0,0.0/1,0.0/1,00.0/0,0.0/1,048,5,0,50,이수빈/43,,086,2.5,0,
2021,4,2,4,4,B1,1,강지환,남,43,62,3.5,2.83,16.7,16.7,16.7,18.67,0446 5131,0,0,F0L0,0,,"온03-5-6, 일08-4-1",0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,044,1.5,0,0,강영길/65,,081,1.5,0,
2021,4,2,4,5,B2,2,윤영일,남,47,58,2.67,2.25,0,0,16.7,18.87,5563 4636,0,0,F0L0,0,,온04-5-2,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,101,5,0,50,윤동오/34,,024,2,0,
2021,4,2,4,6,B1,5,이종인,남,43,58,5.67,5.5,33.3,33.3,50,18.22,5531 4136,0,0,F0L0,0,,"온02-4-3, 일07-5-4",2,00.0/0,0.0/1,00.0/0,0.0/1,00.0/0,00.0/0,025,3,0,0,강영길/54,,020,0,0,
2021,4,2,5,1,A1,13,김도휘,남,36,58,7.11,6.89,44.4,55.6,66.7,18.08,4211 1531,0,0,F0L0,0,,"온01-2-5, 일08-1-2",4,00.0/0,100.0/1,0.0/1,100.0/1,100.0/1,00.0/0,093,1.5,0,0,김성찬/56,,046,8,100,
2021,4,2,5,2,B1,11,김현덕,남,37,63,5.5,5.38,12.5,25,50,18.15,3452 4341,0,0,F0L0,0,,온04-4-3,4,00.0/0,100.0/1,0.0/1,0.0/1,00.0/0,0.0/1,056,5,50,50,박준현/52,,089,7,50,
2021,4,2,5,3,B2,15,엄광호,남,33,67,1.88,1.88,0,0,12.5,18.77,6666 5653,0,0,F0L0,0,,온03-4-4,4,0.0/1,0.0/1,0.0/1,00.0/0,0.0/1,00.0/0,070,1.67,0,0,정승호/655,,049,7,50,
2021,4,2,5,4,B2,13,김민준,남,33,56,6,6,16.7,16.7,66.7,18.63,1433 4331,0,0,F0L0,0,,온06-1-3,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,094,1.5,0,0,문성현/65,,104,10,100,
2021,4,2,5,5,A2,1,길현태,남,45,59,5.17,5.17,16.7,33.3,50,18.67,4513 2634,0,0,F0L0,0,,"온01-4-1, 일07-4-6",0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,014,3,0,0,권현기/45,,078,4,0,
2021,4,2,5,6,A2,8,송효석,남,41,55,7.5,7.5,25,62.5,87.5,17.97,2133 4122,0,0,F0L0,0,,"온02-5-1, 일07-6-5",4,0.0/1,100.0/1,00.0/0,00.0/0,100.0/1,0.0/1,060,2.5,0,0,김효년/64,,050,1.5,0,
2021,4,2,6,1,A2,10,반혜진,여,34,51,6.67,6.67,16.7,33.3,83.3,18.65,3421 3323,0,0,F0L0,0,,"온02-1-5, 일07-2-2",0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,027,5,50,50,김강현/25,,100,0,0,
2021,4,2,6,2,B2,2,박석문,남,58,56,2.71,2.29,14.3,14.3,14.3,18.59,1665 6553,0,0,F0L0,0,,온05-2-4,2,00.0/0,00.0/0,100.0/1,0.0/1,00.0/0,00.0/0,088,5.33,33.3,33.3,이동준/424,,052,9,100,
2021,4,2,6,3,A1,11,김응선,남,36,55,6,6,14.3,57.1,71.4,18.55,2212 6362,0,0,F0L0,0,,"온01-5-2, 일08-2-6",0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,110,4,0,0,하서우/44,,094,5.33,33.3,
2021,4,2,6,4,B2,7,손동민,남,39,53,6.57,6.57,14.3,57.1,71.4,18.5,1534 2225,0,0,F0L0,0,,온05-3-3,2,100.0/1,00.0/0,00.0/0,00.0/0,00.0/0,0.0/1,116,3,0,0,최진혁/45,,083,0,0,
2021,4,2,6,5,B1,1,윤영근,남,52,54,5.33,5.17,16.7,50,50,18.51,1664 2235,0,0,F0L0,0,,"온02-3-2, 일08-5-4",0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,045,4.5,50,50,이진우/26,,080,2,0,
2021,4,2,6,6,B1,15,김지영,여,34,52,5.75,5.75,25,37.5,62.5,18.2,5312 5135,0,0,F0L0,0,,온06-2-1,4,100.0/1,0.0/1,00.0/0,00.0/0,00.0/0,50.0/2,118,1.5,0,0,오상현/65,,004,0,0,
2021,4,2,7,1,A1,2,김민천,남,45,58,7.44,7.33,38.9,55.6,77.8,0.25,3131 1144,0,0,F0L0,0,02,온02-2-6,1,00.0/0,00.0/0,100.0/1,00.0/0,00.0/0,00.0/0,052,3,0,50,주은석/30,,077,1.5,0,
2021,4,2,7,2,A2,10,이경섭,남,38,64,7.05,6.79,21.1,47.4,84.2,0.2,3313 2324,0,0,F0L0,0,02,온05-5-6,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,029,2.5,0,0,김국흠/46,,003,7,50,
2021,4,2,7,3,B1,12,강영길,남,38,63,4.06,3.94,0,25,37.5,0.2,5465 2646,0,0,F0L0,0,02,온06-4-4,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,008,1.5,0,0,오상현/56,,006,3,0,
2021,4,2,7,4,B1,11,전정환,남,34,56,5.25,5.25,18.8,37.5,50,0.25,1521 4655,0,0,F0L0,0,01,온03-3-3,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,127,2.5,0,0,구남우/64,,010,4,0,
2021,4,2,7,5,A2,7,김승택,남,41,67,5.47,5.18,29.4,47.1,52.9,0.22,6153 2605,0,0,F0L0,0,01,온06-3-2,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,129,4,0,50,김지영/53,,005,0,0,
2021,4,2,7,6,A2,6,손지영,여,36,55,5.63,5.31,25,37.5,62.5,0.24,2165 3450,0,0,F0L0,0,01,온04-2-1,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,091,1.5,0,0,정인교/65,,102,6,0,
2021,4,2,8,1,A1,1,이태희,남,50,58,7.7,7.5,35,65,85,0.25,3421 2411,0,0,F0L0,0,02,온04-3-6,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,002,1.5,0,0,구현구/65,,014,3,0,
2021,4,2,8,2,A2,4,구현구,남,43,65,5.61,5.44,16.7,33.3,61.1,0.24,6552 3434,0,0,F0L0,0,03,온06-6-5,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,149,5.33,33.3,66.7,곽현성/532,,107,1.5,0,
2021,4,2,8,3,A1,2,김현철,남,52,55,6.59,6.59,36.4,50,68.2,0.22,2515 3112,0,0,F0L0,0,01,온03-2-5,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,026,4,0,50,류해광/53,,096,6.67,33.3,
2021,4,2,8,4,B1,15,이  인,남,34,57,3.59,3.59,0,11.8,35.3,0.28,4253 4366,0,0,F0L0,0,02,온01-3-3,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,085,5,50,50,정경호/25,,082,7.33,33.3,
2021,4,2,8,5,A2,4,민영건,남,45,58,5.78,5.56,22.2,27.8,55.6,0.19,3443 2143,0,0,F0L0,0,01,온05-4-2,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,098,5,50,50,김현덕/52,,085,3,0,
2021,4,2,8,6,A1,11,정훈민,남,35,56,5.33,5.23,6.7,26.7,60,0.24,6344 4632,0,0,F0L0,0,03,온03-1-1,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,024,3,0,0,최진혁/54,,057,6,33.3,
2021,5,1,1,1,A2,3,박정아,여,42,51,4.86,4.86,0,28.6,57.1,18.37,5523 5232,0,0,F0L0,0,07,,2,00.0/0,00.0/0,0.0/1,0.0/1,00.0/0,00.0/0,141,7,50,100,이지은/32,,042,5,0,
2021,5,1,1,2,B1,2,사재준,남,47,62,4.5,4.5,0,33.3,33.3,18.68,6454 2232,0,0,F0L0,0,08,,1,0.0/1,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,076,6,50,50,김도휘/42,,016,6,50,
2021,5,1,1,3,B1,1,황만주,남,50,61,4.5,4.5,12.5,25,37.5,18.51,6642 1354,0,0,F0L0,0,07,,4,0.0/1,100.0/1,00.0/0,00.0/0,0.0/1,0.0/1,079,10,100,100,김인혜/11,,034,1,0,
2021,5,1,1,4,B1,2,김기한,남,48,55,5.83,5.83,16.7,50,50,18.68,4224 1636,0,0,F0L0,0,08,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,120,8,100,100,주은석/22,,035,6,50,
